,EventID,Start_Time,End_Time,Outage_Duration_In_Days,Year,Month,Facility_Code,Participant_Code,Status,Outage_Reason,Energy_Lost_MW,Description_Of_Outage,Risk_Classification
0,1,12/28/2017 6:00,12/28/2017 10:00,0.17,2017,12,DNHR_DENMARK_WF1,DNHR,Approved,Consequential,1.44,a network outage in Denmark caused the windfarm to trip at 6:26 am,N/A
1,2,12/26/2017 9:00,12/27/2017 0:00,0.63,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,30,Forced Outage - BS on Overhead line pole S-81 - CG10/11,High Risk
2,3,12/31/2017 9:00,12/31/2017 9:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.703,Under generation - ambient conditions,High Risk
3,4,12/31/2017 8:30,12/31/2017 8:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.085,Under generation - ambient conditions,High Risk
4,5,12/31/2017 8:00,12/31/2017 8:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.02,Under generation - ambient conditions,High Risk
5,6,12/30/2017 23:30,12/30/2017 23:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.79,Under generation - ambient conditions,High Risk
6,7,12/30/2017 23:00,12/30/2017 23:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.412,Under generation - ambient conditions,High Risk
7,8,12/30/2017 22:30,12/30/2017 22:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.735,Under generation - ambient conditions,High Risk
8,9,12/29/2017 23:30,12/29/2017 23:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.245,Under generation - ambient conditions,High Risk
9,10,12/29/2017 23:00,12/29/2017 23:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.962,Under generation - ambient conditions,High Risk
10,11,12/29/2017 22:30,12/29/2017 22:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.036,Under generation - ambient conditions,High Risk
11,12,12/28/2017 5:00,12/28/2017 5:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.472,Under generation - ambient conditions,High Risk
12,13,12/28/2017 4:30,12/28/2017 4:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.112,Under generation - ambient conditions,High Risk
13,14,12/27/2017 5:30,12/27/2017 5:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.088,Under generation - ambient conditions,High Risk
14,15,12/27/2017 5:00,12/27/2017 5:00,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.414,Under generation - ambient conditions,High Risk
15,16,12/27/2017 4:30,12/27/2017 4:30,0,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.594,Under generation - ambient conditions,High Risk
2488,2489,12/21/2016 15:00,12/21/2016 17:00,0.08,2016,12,MELK_G7,MELK,Approved,Forced,22,Load restriction,High Risk
2496,2497,12/25/2016 8:00,12/25/2016 11:00,0.13,2016,12,MELK_G7,MELK,Approved,Forced,205.9,Unit Trip,High Risk
2498,2499,12/24/2016 8:30,12/24/2016 8:30,0,2016,12,MELK_G7,MELK,Approved,Forced,22.89,Pro-rata full forced outage due to unit trip.,High Risk
2499,2500,12/23/2016 20:00,12/24/2016 8:00,0.5,2016,12,MELK_G7,MELK,Approved,Forced,343.238,Full forced outage due to unit trip.,High Risk
2500,2501,12/23/2016 19:30,12/23/2016 19:30,0,2016,12,MELK_G7,MELK,Approved,Forced,22.89,Pro-rata full forced outage due to unit trip.,High Risk
21,22,12/20/2017 17:00,12/7/2017 21:30,12.81,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,1,Reduced generation capability,High Risk
22,23,12/30/2017 16:00,12/30/2017 16:00,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,12.64,Deviation from resource plan,High Risk
23,24,12/27/2017 17:00,12/27/2017 17:00,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,21.29,Deviation from resource plan,High Risk
24,25,12/25/2017 17:00,12/25/2017 17:00,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,21.93,Deviation from resource plan,High Risk
25,26,12/25/2017 16:30,12/25/2017 16:30,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,25.22,Deviation from resource plan,High Risk
26,27,12/25/2017 17:30,12/25/2017 17:30,0,2017,12,TIWEST_COG1,TRMOS,Cancelled By Market Participant,Forced,20.92,Deviation from resource plan,Low Risk
27,28,12/25/2017 16:30,12/25/2017 16:30,0,2017,12,TIWEST_COG1,TRMOS,Cancelled By Market Participant,Forced,22.94,Deviation from resource plan,Low Risk
28,29,12/3/2017 10:30,12/30/2017 9:00,26.94,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,38.827,Forced outage due to master protective start up lockout alarm,High Risk
29,30,12/31/2017 10:30,12/2/2017 11:00,28.98,2017,12,KORL_GT3,KORL,Approved,Forced,103.2,Forced outage due to a high vibration alert on power turbine,High Risk
30,31,12/31/2017 10:00,12/31/2017 10:00,0,2017,12,KORL_GT3,KORL,Approved,Forced,92.88,Forced outage due to a high vibration alert on power turbine,High Risk
31,32,12/31/2017 18:00,12/8/2017 11:00,23.29,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,253.288,Steam turbine rebuild and cold commissioning,High Risk
32,33,12/28/2017 14:00,12/28/2017 14:00,0,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,32.356,Forced outage due to master protective lockout,High Risk
33,34,12/28/2017 13:30,12/28/2017 13:30,0,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,19.4,Forced outage due to master protective lockout,High Risk
34,35,12/28/2017 12:00,12/28/2017 12:00,0,2017,12,PJRH_GT11,PJRH,Approved,Forced,43.3,Forced outage due to a faulty fire damper limit switch,High Risk
35,36,12/28/2017 11:00,12/28/2017 11:00,0,2017,12,PJRH_GT11,PJRH,Approved,Forced,26,Forced outage due to a faulty fire damper limit switch,High Risk
36,37,12/28/2017 12:30,12/28/2017 10:30,0.08,2017,12,PJRH_GT11,PJRH,Approved,Forced,130,Forced outage due to a faulty fire damper limit switch,High Risk
37,38,12/28/2017 12:00,12/28/2017 12:00,0,2017,12,PJRH_GT11,PJRH,Cancelled By Market Participant,Forced,43.3,Forced outage due to a faulty fire damper limit switch,High Risk
38,39,12/21/2017 15:30,12/21/2017 15:30,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,18.44,Deviation from resource plan,High Risk
39,40,12/18/2017 20:00,12/18/2017 20:00,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,14.8,Deviation from resource plan,High Risk
40,41,12/18/2017 17:30,12/18/2017 17:30,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,20.92,Deviation from resource plan,High Risk
41,42,12/18/2017 16:30,12/18/2017 16:30,0,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,22.94,Deviation from resource plan,High Risk
2506,2507,12/21/2016 10:00,12/21/2016 13:00,0.13,2016,12,MELK_G7,MELK,Approved,Forced,205.9,Unit MTR.,High Risk
43,44,12/30/2017 0:00,12/30/2017 0:00,0,2017,12,AUXC_WGP,AUXC,Approved,Forced,12.87,Refinery Issues - Steam/Power Imbalance,High Risk
44,45,12/22/2017 20:00,12/23/2017 1:30,0.23,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Forced,23,"KNS GT Tripped on vibration alarm, 4 hour lock out.",Medium Risk
